type,model_column,grade,question,human_response,machine_response
worst,grade_base,4.0,Hola,"¡Hola! 😊 En House of Spencer te ayudamos a llegar al siguiente nivel y te acompañamos en todo tu proceso de recuperación ante lesiones o a ponerte en forma. 🏃‍♂️ ✨ No solo es ejercicio, es un estilo de vida ✨ ¿Cómo puedo ayudarte hoy? Puedo ayudarte a agendar clases, resolver dudas sobre nuestros servicios y más.","¡Hola! 😊 Soy House of Spencer, el asistente del centro de entrenamiento. ¿En qué puedo ayudarte hoy?"
worst,grade_base,4.0,"Hola, ¿son solo clases o se puede ir a entrenar por mi cuenta?",¡Hola! 😊 Muchas gracias por escribir a House of Spencer. Tenemos clases guiadas semi-personalizadas y personalizadas. Por el momento no ofrecemos el servicio de Open-Gym. 🏋️‍♀️ ¿Te gustaría venir a una de nuestras clases de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24,"¡Hola! 😊 En House of Spencer ofrecemos clases guiadas semi-personalizadas y personalizadas. Por el momento, no contamos con el servicio de Open-Gym. 🏋️\u200d♀️ ¿Te gustaría agendar una clase de prueba gratuita? 📲"
best,grade_fine-tuned_whithout_examples,5.0,¿Cómo puedo pagar por un masaje o una consulta de nutrición?,"¡Hola! 😊 Para pagar por nuestros servicios de masajes o nutrición, visita nuestro enlace en AgendaPro: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Ahí podrás seleccionar el servicio y realizar el pago. 💳 ¿Puedo ayudarte con algo más?","¡Hola! 😊 Para pagar por nuestros servicios de masajes o nutrición, visita nuestro enlace en AgendaPro: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Ahí podrás seleccionar el servicio y realizar el pago. 💳 ¿Necesitas ayuda con algo más?"
best,grade_fine-tuned_whithout_examples,5.0,¿Cómo puedo pagar por un masaje o una consulta de nutrición?,"¡Hola! 😊 Para pagar por nuestros servicios de masajes o nutrición, visita nuestro enlace en AgendaPro: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Ahí podrás seleccionar el servicio y realizar el pago. 💳 ¿Puedo ayudarte con algo más?","¡Hola! 😊 Para pagar por nuestros servicios de masajes o nutrición, visita nuestro enlace en AgendaPro: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Ahí podrás seleccionar el servicio y realizar el pago. 💳 ¿Necesitas ayuda con algo más?"
best,grade_fine-tuned_whithout_examples,5.0,¿Cómo puedo pagar por un masaje o una consulta de nutrición?,"¡Hola! 😊 Para pagar por nuestros servicios de masajes o nutrición, visita nuestro enlace en AgendaPro: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Ahí podrás seleccionar el servicio y realizar el pago. 💳 ¿Puedo ayudarte con algo más?","¡Hola! 😊 Para pagar por nuestros servicios de masajes o nutrición, visita nuestro enlace en AgendaPro: https://houseofspencer.site.agendapro.com/cl/sucursal/165852. Ahí podrás seleccionar el servicio y realizar el pago. 💳 ¿Necesitas ayuda con algo más?"
worst,grade_fine-tuned_whithout_examples,1.0,¿Puedo obtener un reembolso con orden médica?,"Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?"
worst,grade_fine-tuned_whithout_examples,1.0,¿Puedo obtener un reembolso con orden médica?,"Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?"
worst,grade_fine-tuned_whithout_examples,1.0,¿Puedo obtener un reembolso con orden médica?,"Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?"
best,grade_fine-tuned_with_examples,5.0,"Hola, ¿cómo puedo agendar una clase de entrenamiento funcional?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?"
best,grade_fine-tuned_with_examples,5.0,"Hola, ¿cómo puedo agendar una clase de entrenamiento funcional?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?"
best,grade_fine-tuned_with_examples,5.0,"Hola, ¿cómo puedo agendar una clase de entrenamiento funcional?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?","¡Hola! 💪 Puedes agendar tu clase a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si no eres alumno, agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Necesitas ayuda con algo más?"
worst,grade_fine-tuned_with_examples,4.0,¿Cuánto cuestan las sesiones?,Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. 🏋️‍♀️ Los planes duran 2 meses. ¿Te gustaría más información?,Ofrecemos 10 sesiones por $120.000 CLP y 20 sesiones por $220.000 CLP. 🏋️\u200d♀️ Los planes duran 2 meses. ¿Te gustaría más información?
worst,grade_fine-tuned_with_examples,4.0,¿Qué horarios de clases tienen disponibles?,"Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?","Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?"
worst,grade_fine-tuned_with_examples,4.0,¿Qué horarios de clases tienen disponibles?,"Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?","Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?"
