question,human_answer,HOS  without examples,HOS  base,HOS  fine-tuned,grade_without_examples,grade_base,grade_fine_tuned
¿Qué horarios de clases tienen disponibles?,"Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?","¡Hola! Soy el asistente de House of Spencer. Los horarios de clases de entrenamiento funcional son:\n\n**Lunes a Viernes:**\n- Mañana: 6:00, 6:30, 7:30, 8:30\n- Mediodía: 10:00, 11:00, 12:00, 13:00\n- Tarde: 18:00, 19:00, 20:00\n\n**Sábado:**\n- Mañana: 10:00, 11:00\n\n¿Te gustaría agendar una clase de prueba gratuita?","¡Hola! 😊 Tenemos clases de entrenamiento funcional de lunes a viernes en los siguientes horarios:\n\n**Mañana:** 6:00, 6:30, 7:30, 8:30  \n**Mediodía:** 10:00, 11:00, 12:00, 13:00  \n**Tarde:** 18:00, 19:00, 20:00  \n\n**Sábado:**  \n**Mañana:** 10:00, 11:00  \n\n¿Te gustaría más información?","Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?",5,5,4
¿Qué horarios de clases tienen disponibles?,"Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?","¡Hola! Soy House of Spencer. Ofrecemos clases de entrenamiento funcional con los siguientes horarios:\n\n**Lunes a Viernes:**\n- Mañana: 6:00, 6:30, 7:30, 8:30\n- Mediodía: 10:00, 11:00, 12:00, 13:00\n- Tarde: 18:00, 19:00, 20:00\n\n**Sábado:**\n- Mañana: 10:00, 11:00\n\n¿Te gustaría agendar una clase de prueba gratuita?","¡Hola! 😊 Aquí tienes nuestros horarios de clases de entrenamiento funcional:\n\nLunes a Viernes:\n- Mañana: 6:00, 6:30, 7:30, 8:30\n- Mediodía: 10:00, 11:00, 12:00, 13:00\n- Tarde: 18:00, 19:00, 20:00\n\nSábado:\n- Mañana: 10:00, 11:00\n\n¿Te gustaría saber algo más? 🏋️\u200d♂️","Ofrecemos clases de lunes a viernes en las mañanas, mediodías y tardes, y los sábados en las mañanas. ¿Te gustaría saber los horarios específicos? 📅",5,5,4
Hola,"¡Hola! 😊 En House of Spencer te ayudamos a llegar al siguiente nivel y te acompañamos en todo tu proceso de recuperación ante lesiones o a ponerte en forma. 🏃‍♂️ ✨ No solo es ejercicio, es un estilo de vida ✨ ¿Cómo puedo ayudarte hoy? Puedo ayudarte a agendar clases, resolver dudas sobre nuestros servicios y más.","¡Hola! Soy House of Spencer, el asistente del centro de entrenamiento. Estoy aquí para ayudarte con horarios, precios y más. ¿En qué puedo asistirte hoy? 😊","¡Hola! 😊 Soy de House of Spencer. ¿En qué puedo ayudarte hoy? Puedo resolver dudas sobre horarios, precios y agendar clases. 🏋️\u200d♂️","¡Hola! 💪 Gracias por contactar a House of Spencer. Estoy aquí para ayudarte en todo lo que necesites. ⚡ ¿Puedo ayudarte con dudas sobre agendar clases, detalles de nuestros servicios, horarios, precios o algo más específico?",4,4,4
Hola,"¡Hola! 😊 En House of Spencer te ayudamos a llegar al siguiente nivel y te acompañamos en todo tu proceso de recuperación ante lesiones o a ponerte en forma. 🏃‍♂️ ✨ No solo es ejercicio, es un estilo de vida ✨ ¿Cómo puedo ayudarte hoy? Puedo ayudarte a agendar clases, resolver dudas sobre nuestros servicios y más.","¡Hola! Soy House of Spencer, tu asistente del centro de entrenamiento. Estoy aquí para ayudarte con horarios, precios y más. ¿En qué puedo asistirte hoy? 😊",¡Hola! 😊 Soy House of Spencer. Te ayudo a mejorar tu biomecánica y evitar lesiones. ¿Cómo puedo asistirte hoy?,"Hola, ¿cómo estás? 😊 Soy el asistente de House of Spencer, tu centro de entrenamiento. 💪 Te ayudo a agendar tu clase de prueba gratuita aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24. También puedes descargar la app BoxMagic o visitar https://auth.boxmagic.cl/ para agendar clases con nosotros. 🗓️ ¿Puedo ayudarte con algo más?",4,4,4
Hola,"¡Hola! 😊 En House of Spencer te ayudamos a llegar al siguiente nivel y te acompañamos en todo tu proceso de recuperación ante lesiones o a ponerte en forma. 🏃‍♂️ ✨ No solo es ejercicio, es un estilo de vida ✨ ¿Cómo puedo ayudarte hoy? Puedo ayudarte a agendar clases, resolver dudas sobre nuestros servicios y más.","¡Hola! Soy House of Spencer, el asistente del centro de entrenamiento. ¿En qué puedo ayudarte hoy? 😊","¡Hola! 😊 Soy House of Spencer, tu asistente en el centro de entrenamiento. Estoy aquí para ayudarte con horarios, precios y más. ¿En qué puedo asistirte hoy? 💪","¡Hola! 💪 Bienvenido a House of Spencer. Estoy aquí para ayudarte con horarios, precios y más. Agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿En qué puedo asistirte hoy?",4,4,4
Hola,"¡Hola! 😊 En House of Spencer te ayudamos a llegar al siguiente nivel y te acompañamos en todo tu proceso de recuperación ante lesiones o a ponerte en forma. 🏃‍♂️ ✨ No solo es ejercicio, es un estilo de vida ✨ ¿Cómo puedo ayudarte hoy? Puedo ayudarte a agendar clases, resolver dudas sobre nuestros servicios y más.","¡Hola! Soy House of Spencer, tu asistente en el centro de entrenamiento. ¿En qué puedo ayudarte hoy?","¡Hola! 😊 Soy House of Spencer, y estoy aquí para ayudarte. ¿En qué puedo asistirte hoy? 💪",¡Hola! 🎉 Bienvenido a House of Spencer. 💪 Estoy aquí para ayudarte con todo lo que necesites. Agenda tu clase de prueba gratuita en: 📲 https://boxmagic.cl/sp/HouseofSpencer24. ¿Cómo puedo ayudarte hoy?,4,4,4
¿Puedo obtener un reembolso con orden médica?,"Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","¡Hola! Soy House of Spencer. Sí, puedes obtener un reembolso con orden médica. Si necesitas más información, házmelo saber.","¡Hola! 😊 Sí, nuestras sesiones son reembolsables con orden médica, ya que son realizadas por kinesiólogos. 📝 ¿Necesitas más información?","Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?",5,5,5
¿Puedo obtener un reembolso con orden médica?,"Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","¡Hola! Soy House of Spencer. Sí, las sesiones son reembolsables con orden médica. Si necesitas más detalles, no dudes en preguntar.","¡Hola! 😊 Sí, nuestras sesiones son reembolsables con orden médica, ya que son realizadas por kinesiólogos. 📝 ¿Te gustaría saber más?","Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?",4,5,5
¿Puedo obtener un reembolso con orden médica?,"Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","¡Hola! Soy House of Spencer. Sí, las sesiones son reembolsables con orden médica. Si necesitas más información, no dudes en preguntar. 😊","¡Hola! 😊 Sí, nuestras sesiones son reembolsables con orden médica, ya que todas son realizadas por kinesiólogos. 📝 ¿Necesitas más información?","Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝",5,5,5
¿Puedo obtener un reembolso con orden médica?,"Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","¡Hola! Soy de House of Spencer. Sí, las sesiones son reembolsables con orden médica. Si tienes más dudas, no dudes en preguntar. 😊","¡Hola! 😊 Sí, nuestras sesiones son reembolsables con orden médica, ya que son realizadas por kinesiólogos. 📝 ¿Necesitas más información?","Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?",5,5,5
"Hola, ayer fui a la clase de prueba y todo bien. ¿Cómo contrato algún plan?",¡Hola! Me alegro mucho que te hayan gustado nuestras clases y el estilo House of Spencer! 🙌 Solo debes bajar la app BoxMagic en tu celular o visitar https://auth.boxmagic.cl/. Ahí ingresas y compras un plan con alguno de nuestros profes de 10 o 20 sesiones. 🏋️‍♂️ ¿Puedo ayudarte con algo más?,"¡Hola! Soy House of Spencer. Para contratar un plan, debes agendar tus clases a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si necesitas más ayuda, solo dime. 💪📲","¡Hola! 😊 Me alegra saber que disfrutaste la clase. Para contratar un plan, solo debes bajar la app BoxMagic en tu celular o visitar https://auth.boxmagic.cl/. Ahí podrás comprar un plan con nuestros profes. 🏋️\u200d♂️ ¿Te puedo ayudar con algo más?","¡Hola! 🙌 Me alegra saber que todo fue bien en tu clase de prueba! Para contratar un plan, descarga la app BoxMagic o visita https://auth.boxmagic.cl/. 📲 Ahí podrás encontrar y comprar nuestros servicios. ⏳ Si necesitas ayuda durante el proceso, estaré aquí para ayudarte.",4,4,5
"Hola, ayer fui a la clase de prueba y todo bien. ¿Cómo contrato algún plan?",¡Hola! Me alegro mucho que te hayan gustado nuestras clases y el estilo House of Spencer! 🙌 Solo debes bajar la app BoxMagic en tu celular o visitar https://auth.boxmagic.cl/. Ahí ingresas y compras un plan con alguno de nuestros profes de 10 o 20 sesiones. 🏋️‍♂️ ¿Puedo ayudarte con algo más?,"¡Hola! Soy House of Spencer. Para contratar un plan, puedes agendar tus clases a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si tienes dudas, ¡aquí estoy para ayudarte! 💪😊",¡Hola! 😊 Me alegra que te haya gustado la clase. Puedes contratar un plan descargando la app BoxMagic o visitando https://auth.boxmagic.cl/. Ahí puedes comprar un plan de 10 o 20 sesiones. 🏋️\u200d♂️ ¿Te ayudo con algo más?,"¡Hola! Me alegro que te haya gustado la clase de prueba! 😊 Para contratar un plan, descarga la app BoxMagic o visita https://auth.boxmagic.cl/. Luego, busca nuestro centro y podrás adquirir un plan de 10 o 20 sesiones. 💪 Si necesitas ayuda, puedes preguntar.",4,5,4
"Hola, ayer fui a la clase de prueba y todo bien. ¿Cómo contrato algún plan?",¡Hola! Me alegro mucho que te hayan gustado nuestras clases y el estilo House of Spencer! 🙌 Solo debes bajar la app BoxMagic en tu celular o visitar https://auth.boxmagic.cl/. Ahí ingresas y compras un plan con alguno de nuestros profes de 10 o 20 sesiones. 🏋️‍♂️ ¿Puedo ayudarte con algo más?,"¡Hola! Soy House of Spencer. Puedes contratar tu plan a través de la app BoxMagic o en el sitio web: https://auth.boxmagic.cl/. Si necesitas ayuda, házmelo saber. ¡Estamos aquí para ti! 💪📲","¡Hola! Me alegra que hayas disfrutado la clase. 🙌 Para contratar un plan, descarga la app BoxMagic o visita https://auth.boxmagic.cl/. Ahí podrás elegir entre varios planes y acceder a nuestros profes. 🏋️\u200d♂️ ¿Necesitas ayuda con algo más?","¡Hola! Nos alegra saber que te gustó la clase! 🎉 Puedes contratar un plan a través de la app BoxMagic o en https://auth.boxmagic.cl/. 🏋️\u200d♀️ Después de registrarte, busca nuestro centro y podrás seleccionar el plan que desees. ¿Necesitas ayuda con algo más?",5,4,5
"Hola, ayer fui a la clase de prueba y todo bien. ¿Cómo contrato algún plan?",¡Hola! Me alegro mucho que te hayan gustado nuestras clases y el estilo House of Spencer! 🙌 Solo debes bajar la app BoxMagic en tu celular o visitar https://auth.boxmagic.cl/. Ahí ingresas y compras un plan con alguno de nuestros profes de 10 o 20 sesiones. 🏋️‍♂️ ¿Puedo ayudarte con algo más?,"¡Hola! Soy House of Spencer. Me alegra que hayas disfrutado tu clase de prueba. Para contratar un plan, puedes hacerlo a través de la app BoxMagic o en https://auth.boxmagic.cl/. ¡Cualquier duda, aquí estoy! 💪😊","¡Hola! 😊 Me alegro que hayas disfrutado la clase. Para contratar un plan, baja la app BoxMagic en tu celular o visita https://auth.boxmagic.cl/. Ahí podrás comprar un plan de 10 o 20 sesiones. 🏋️\u200d♂️ ¿Necesitas ayuda con algo más?","¡Hola! Me alegro que te haya gustado la clase de prueba! 😄 Para contratar un plan, descarga la app BoxMagic o visita https://auth.boxmagic.cl/. Ahí podrás buscar nuestro centro y adquirir tu plan de 10 o 20 sesiones. ¿Necesitas ayuda con algo más? 💪",5,5,5
"Hola, ¿son solo clases o se puede ir a entrenar por mi cuenta?",¡Hola! 😊 Muchas gracias por escribir a House of Spencer. Tenemos clases guiadas semi-personalizadas y personalizadas. Por el momento no ofrecemos el servicio de Open-Gym. 🏋️‍♀️ ¿Te gustaría venir a una de nuestras clases de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24,"¡Hola! Soy House of Spencer. En nuestro centro ofrecemos clases semi personalizadas, pero no hay opción para entrenar por cuenta propia. Si tienes más preguntas, ¡estoy aquí para ayudarte!",¡Hola! 😊 En House of Spencer ofrecemos clases guiadas semi-personalizadas y personalizadas. Por el momento no contamos con un servicio de Open-Gym. 🏋️\u200d♀️ ¿Te gustaría agendar una clase de prueba gratuita?,"¡Hola! 😊 En House of Spencer te ofrecemos clases guiadas semi-personalizadas de entrenamiento funcional. 💪 No tenemos el servicio de open-gym, pero nuestras clases están diseñadas para adaptarse a tú nivel y ayudar en cada paso de tu proceso. ¿Te gustaría venir a una clase de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24",4,4,4
"Hola, ¿son solo clases o se puede ir a entrenar por mi cuenta?",¡Hola! 😊 Muchas gracias por escribir a House of Spencer. Tenemos clases guiadas semi-personalizadas y personalizadas. Por el momento no ofrecemos el servicio de Open-Gym. 🏋️‍♀️ ¿Te gustaría venir a una de nuestras clases de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24,"Hola, soy House of Spencer. En nuestro centro ofrecemos clases semi personalizadas, pero también puedes entrenar por tu cuenta durante los horarios disponibles. Si necesitas más información, ¡pregunta! 🏋️\u200d♂️","¡Hola! 😊 En House of Spencer, solo ofrecemos clases guiadas semi-personalizadas. Por el momento, no contamos con un servicio de Open-Gym. 🏋️\u200d♀️ ¿Te gustaría agendar una clase de prueba gratuita? 📲","¡Hola! 😊 Gracias por escribir a House of Spencer. Actualmente, ofrecemos clases guiadas semi-personalizadas y no tenemos el servicio de Open Gym. 🙌 Esto nos permite asegurar que todos nuestros clientes están realizando los movimientos adecuadamente y pueden entrenar de forma segura. 🔐 ¿Te gustaría agendar una clase de prueba gratuita? Agenda aquí: 📲 https://boxmagic.cl/sp/HouseofSpencer24",2,4,4
