question,human_response,House of Spencer_without examples,House of Spencer_base,House of Spencer_fine-tuned_without_examples,House of Spencer_fine-tuned_with_examples,grade_without_examples,grade_base,grade_fine-tuned_whithout_examples,grade_fine-tuned_with_examples
¿Puedo cancelar una clase sin perderla?,"Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?","¡Hola! Soy House of Spencer. Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. Si tienes más dudas, estoy aquí para ayudarte. 😊","¡Hola! 😊 Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?","Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?","Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?",4,5,4,5
¿Puedo cancelar una clase sin perderla?,"Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?","¡Hola! Soy House of Spencer. Sí, puedes cancelar tu clase hasta 12 horas antes sin perderla. Si necesitas más información, no dudes en preguntar. 😊","¡Hola! 😊 Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?","Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?","Sí, puedes cancelar tus clases hasta 12 horas antes sin perderlas. ⏰ ¿Necesitas ayuda con algo más?",4,5,4,5
¿Qué horarios de clases tienen disponibles?,"Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?","¡Hola! Soy House of Spencer. Ofrecemos clases de entrenamiento funcional en los siguientes horarios:\n\n**Lunes a Viernes:**\n- Mañana: 6:00, 6:30, 7:30, 8:30\n- Mediodía: 10:00, 11:00, 12:00, 13:00\n- Tarde: 18:00, 19:00, 20:00\n\n**Sábado:**\n- Mañana: 10:00, 11:00\n\nSi deseas más información o agendar, házmelo saber.","¡Hola! 😊 Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?","Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?","Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?",4,5,4,4
¿Qué horarios de clases tienen disponibles?,"Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?","¡Hola! Soy House of Spencer. Ofrecemos clases de entrenamiento funcional en los siguientes horarios:\n\nLunes a Viernes:\n- Mañana: 6:00, 6:30, 7:30, 8:30\n- Mediodía: 10:00, 11:00, 12:00, 13:00\n- Tarde: 18:00, 19:00, 20:00\n\nSábados:\n- Mañana: 10:00, 11:00\n\n¿Te gustaría agendar una clase de prueba gratuita?","¡Hola! 😊 Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 Si deseas horarios específicos, házmelo saber.","Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?","Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?",4,5,4,4
¿Qué horarios de clases tienen disponibles?,"Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?","¡Hola! Soy House of Spencer. Ofrecemos clases de entrenamiento funcional de lunes a sábado. Aquí están los horarios:\n\n**Lunes a Viernes:**\n- Mañana: 6:00, 6:30, 7:30, 8:30\n- Mediodía: 10:00, 11:00, 12:00, 13:00\n- Tarde: 18:00, 19:00, 20:00\n\n**Sábado:**\n- Mañana: 10:00, 11:00\n\n¿Te gustaría agendar una clase de prueba gratuita?","¡Hola! 😊 Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?","Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?","Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?",4,4,4,4
¿Qué horarios de clases tienen disponibles?,"Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?","¡Hola! Soy de House of Spencer. Ofrecemos clases de entrenamiento funcional en los siguientes horarios:\n\n**Lunes a Viernes:**\n- Mañana: 6:00, 6:30, 7:30, 8:30\n- Mediodía: 10:00, 11:00, 12:00, 13:00\n- Tarde: 18:00, 19:00, 20:00\n\n**Sábado:**\n- Mañana: 10:00, 11:00\n\n¿Te gustaría agendar una clase de prueba gratuita?","¡Hola! 😊 Tenemos clases de lunes a viernes en los siguientes horarios:\n\n**Mañana:** 6:00, 6:30, 7:30, 8:30  \n**Mediodía:** 10:00, 11:00, 12:00, 13:00  \n**Tarde:** 18:00, 19:00, 20:00  \n\n**Sábado:** 10:00, 11:00  \n\n¿Te gustaría saber algo más?","Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?","Tenemos clases de lunes a viernes en la mañana, mediodía y tarde, y los sábados en la mañana. 📅 ¿Te gustaría saber los horarios específicos?",4,5,4,4
Hola,"¡Hola! 😊 En House of Spencer te ayudamos a llegar al siguiente nivel y te acompañamos en todo tu proceso de recuperación ante lesiones o a ponerte en forma. 🏃‍♂️ ✨ No solo es ejercicio, es un estilo de vida ✨ ¿Cómo puedo ayudarte hoy? Puedo ayudarte a agendar clases, resolver dudas sobre nuestros servicios y más.","¡Hola! Soy House of Spencer, el asistente del centro de entrenamiento. ¿En qué puedo ayudarte hoy? 😊","¡Hola! 😊 Soy House of Spencer, tu asistente del centro de entrenamiento. ¿Cómo puedo ayudarte hoy? Puedo resolver dudas sobre horarios, precios, agendar clases y más. 💪","¡Hola! 😊 Bienvenido a House of Spencer. Puedo ayudarte con información sobre nuestros servicios, horarios y más. ¿En qué puedo asistirte hoy?","¡Hola! 😊 En House of Spencer te ayudamos a llegar al siguiente nivel y te acompañamos en todo tu proceso de recuperación ante lesiones o a ponerte en forma. 🏃\u200d♂️ ✨ No solo es ejercicio, es un estilo de vida ✨ ¿Cómo puedo ayudarte hoy? Puedo ayudarte a agendar clases, resolver dudas sobre nuestros servicios y más.",1,4,1,4
Hola,"¡Hola! 😊 En House of Spencer te ayudamos a llegar al siguiente nivel y te acompañamos en todo tu proceso de recuperación ante lesiones o a ponerte en forma. 🏃‍♂️ ✨ No solo es ejercicio, es un estilo de vida ✨ ¿Cómo puedo ayudarte hoy? Puedo ayudarte a agendar clases, resolver dudas sobre nuestros servicios y más.","¡Hola! Soy House of Spencer, el asistente del centro de entrenamiento. ¿En qué puedo ayudarte hoy? 😊","¡Hola! 😊 Soy de House of Spencer. ¿En qué puedo ayudarte hoy? Puedo ayudarte con horarios, precios, agendar clases y más. 💪","¡Hola! 😊 Bienvenido a House of Spencer. ¿En qué puedo ayudarte hoy? Puedo ayudarte con horarios, precios, agendar clases y más. 🏋️\u200d♂️","¡Hola! 😊 En House of Spencer te ayudamos a llegar al siguiente nivel y te acompañamos en todo tu proceso de recuperación ante lesiones o a ponerte en forma. 🏃\u200d♂️ ✨ No solo es ejercicio, es un estilo de vida ✨ ¿Cómo puedo ayudarte hoy? Puedo ayudarte a agendar clases, resolver dudas sobre nuestros servicios y más.",1,4,1,4
Hola,"¡Hola! 😊 En House of Spencer te ayudamos a llegar al siguiente nivel y te acompañamos en todo tu proceso de recuperación ante lesiones o a ponerte en forma. 🏃‍♂️ ✨ No solo es ejercicio, es un estilo de vida ✨ ¿Cómo puedo ayudarte hoy? Puedo ayudarte a agendar clases, resolver dudas sobre nuestros servicios y más.","¡Hola! Soy House of Spencer, el asistente del centro de entrenamiento. ¿En qué puedo ayudarte hoy?","¡Hola! 😊 Soy House of Spencer, el asistente del centro de entrenamiento. ¿En qué puedo ayudarte hoy?","¡Hola! 😊 Bienvenido a House of Spencer. Puedo ayudarte con nuestros horarios, precios, agendar clases y mucho más. ¿En qué puedo asistirte hoy?","¡Hola! 😊 En House of Spencer te ayudamos a llegar al siguiente nivel y te acompañamos en todo tu proceso de recuperación ante lesiones o a ponerte en forma. 🏃\u200d♂️ ✨ No solo es ejercicio, es un estilo de vida ✨ ¿Cómo puedo ayudarte hoy? Puedo ayudarte a agendar clases, resolver dudas sobre nuestros servicios y más.",1,4,1,4
Hola,"¡Hola! 😊 En House of Spencer te ayudamos a llegar al siguiente nivel y te acompañamos en todo tu proceso de recuperación ante lesiones o a ponerte en forma. 🏃‍♂️ ✨ No solo es ejercicio, es un estilo de vida ✨ ¿Cómo puedo ayudarte hoy? Puedo ayudarte a agendar clases, resolver dudas sobre nuestros servicios y más.","¡Hola! Soy House of Spencer, el asistente del centro de entrenamiento. Estoy aquí para ayudarte con horarios, precios y más. ¿En qué puedo asistirte hoy? 😊","¡Hola! 😊 Soy de House of Spencer. ¿Cómo puedo ayudarte hoy? Puedo resolver dudas sobre horarios, precios, agendar clases y más.",¡Hola! 😊 Bienvenido a House of Spencer. Estoy aquí para ayudarte con tus consultas sobre nuestros servicios y clases. ¿En qué puedo ayudarte hoy?,"¡Hola! 😊 En House of Spencer te ayudamos a llegar al siguiente nivel y te acompañamos en todo tu proceso de recuperación ante lesiones o a ponerte en forma. 🏃\u200d♂️ ✨ No solo es ejercicio, es un estilo de vida ✨ ¿Cómo puedo ayudarte hoy? Puedo ayudarte a agendar clases, resolver dudas sobre nuestros servicios y más.",1,4,1,4
¿Puedo obtener un reembolso con orden médica?,"Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","¡Hola! Soy de House of Spencer. Sí, las sesiones son reembolsables con orden médica. Si tienes más preguntas, no dudes en preguntar. 😊","¡Hola! 😊 Sí, nuestras sesiones son reembolsables con orden médica, ya que todas son realizadas por kinesiólogos. 📝 ¿Necesitas más información?","Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?",1,5,1,5
¿Puedo obtener un reembolso con orden médica?,"Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","¡Hola! Soy de House of Spencer. Sí, las sesiones son reembolsables con orden médica. Si necesitas más información, no dudes en preguntar. 😊","¡Hola! 😊 Sí, nuestras sesiones son reembolsables con orden médica, ya que son realizadas por kinesiólogos. 📝 ¿Necesitas más información?","Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?",1,5,1,5
¿Puedo obtener un reembolso con orden médica?,"Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","¡Hola! Soy House of Spencer. Sí, las sesiones son reembolsables con orden médica. Si tienes más dudas, no dudes en preguntar. 😊","¡Hola! 😊 Sí, nuestras sesiones son reembolsables con orden médica, ya que son realizadas por kinesiólogos. 📝 ¿Necesitas más información?","Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?",1,5,1,5
¿Puedo obtener un reembolso con orden médica?,"Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","¡Hola! Soy House of Spencer. Sí, puedes obtener un reembolso por las sesiones si tienes una orden médica. ¿Necesitas más información?","¡Hola! 😊 Sí, nuestras sesiones son reembolsables con orden médica, ya que todas son realizadas por kinesiólogos. 📝 ¿Necesitas más información?","Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?","Sí, como todas nuestras clases son realizadas por kinesiólogos, nuestras sesiones son reembolsables con orden médica. 📝 ¿Necesitas más información?",1,5,1,5
"Hola, ayer fui a la clase de prueba y todo bien. ¿Cómo contrato algún plan?",¡Hola! Me alegro mucho que te hayan gustado nuestras clases y el estilo House of Spencer! 🙌 Solo debes bajar la app BoxMagic en tu celular o visitar https://auth.boxmagic.cl/. Ahí ingresas y compras un plan con alguno de nuestros profes de 10 o 20 sesiones. 🏋️‍♂️ ¿Puedo ayudarte con algo más?,"¡Hola! Soy House of Spencer. Para contratar un plan, puedes agendar tus clases a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si necesitas más ayuda, ¡pregunta! 😊","¡Hola! 😊 Me alegra que hayas disfrutado la clase. Para contratar un plan, descarga la app BoxMagic o visita https://auth.boxmagic.cl/. Ahí podrás comprar un plan de 10 o 20 sesiones. 🏋️\u200d♂️ ¿Necesitas ayuda con algo más?","¡Hola! Me alegra saber que te gustó la clase de prueba! 🙌 Para contratar un plan, descarga la app BoxMagic o visita https://auth.boxmagic.cl/. 📲 Luego, busca nuestro centro y podrás comprar un plan de clases. Si necesitas ayuda, aquí estoy. 💪",¡Hola! Me alegro mucho que te hayan gustado nuestras clases y el estilo House of Spencer! 🙌 Solo debes bajar la app BoxMagic en tu celular o visitar https://auth.boxmagic.cl/. Ahí ingresas y compras un plan con alguno de nuestros profes de 10 o 20 sesiones. 🏋️\u200d♂️ ¿Puedo ayudarte con algo más?,4,5,4,5
"Hola, ayer fui a la clase de prueba y todo bien. ¿Cómo contrato algún plan?",¡Hola! Me alegro mucho que te hayan gustado nuestras clases y el estilo House of Spencer! 🙌 Solo debes bajar la app BoxMagic en tu celular o visitar https://auth.boxmagic.cl/. Ahí ingresas y compras un plan con alguno de nuestros profes de 10 o 20 sesiones. 🏋️‍♂️ ¿Puedo ayudarte con algo más?,"¡Hola! Soy House of Spencer. Para contratar un plan, puedes agendar tus clases a través de la app BoxMagic o en https://auth.boxmagic.cl/. Si necesitas más ayuda, házmelo saber. 💪","¡Hola! 😊 Me alegra que te haya gustado la clase. Para contratar un plan, descarga la app BoxMagic en tu celular o visita https://auth.boxmagic.cl/. Ahí podrás comprar un plan de 10 o 20 sesiones. 🏋️\u200d♂️ ¿Necesitas ayuda con algo más?","¡Hola! Me alegra saber que te gustó la clase de prueba! 🎉 Para contratar un plan, descarga la app BoxMagic o visita https://auth.boxmagic.cl/. Ahí podrás buscar nuestro centro y seleccionar el plan que más te guste. 📲 ¿Necesitas ayuda con algo más?",¡Hola! Me alegro mucho que te hayan gustado nuestras clases y el estilo House of Spencer! 🙌 Solo debes bajar la app BoxMagic en tu celular o visitar https://auth.boxmagic.cl/. Ahí ingresas y compras un plan con alguno de nuestros profes de 10 o 20 sesiones. 🏋️\u200d♂️ ¿Puedo ayudarte con algo más?,4,5,4,5
